x,y,x_,y_
47.598567,49.219738,47.598567,49.219738
48.798712,49.957242,48.798712,49.957242
49.684909,54.262668,49.684909,54.262668
45.342772,48.532758,45.342772,48.532758
50.707977,48.978777,50.707977,48.978777
51.609970,48.827727,51.609970,48.827727
49.264059,51.025253,49.264059,51.025253
51.167738,46.275642,51.167738,46.275642
54.439574,48.122837,54.439574,48.122837
45.365906,51.796233,45.365906,51.796233
45.645865,50.025636,45.645865,50.025636
46.480454,47.867381,46.480454,47.867381
47.622267,47.756303,47.622267,47.756303
52.863346,53.495508,52.863346,53.495508
53.795422,49.781536,53.795422,49.781536
49.807680,47.682763,49.807680,47.682763
45.357012,48.258892,45.357012,48.258892
53.322386,49.506676,53.322386,49.506676
45.129856,49.433087,45.129856,49.433087
49.260138,45.200468,49.260138,45.200468
46.367761,52.038737,46.367761,52.038737
50.257422,46.501206,50.257422,46.501206
47.682537,50.348741,47.682537,50.348741
54.692375,51.639739,54.692375,51.639739
51.111889,47.584377,51.111889,47.584377
47.933301,54.541419,47.933301,54.541419
53.376306,46.732550,53.376306,46.732550
45.540751,51.539426,45.540751,51.539426
49.470805,45.848201,49.470805,45.848201
46.575145,48.880102,46.575145,48.880102
45.666567,48.998080,45.666567,48.998080
54.020027,52.735300,54.020027,52.735300
53.305230,50.756795,53.305230,50.756795
51.476874,51.739989,51.476874,51.739989
49.749947,47.356854,49.749947,47.356854
50.984248,52.216445,50.984248,52.216445
45.223277,49.293514,45.223277,49.293514
46.703181,50.268224,46.703181,50.268224
46.129020,50.273409,46.129020,50.273409
49.987947,47.425670,49.987947,47.425670
53.110640,50.413864,53.110640,50.413864
54.498101,49.816847,54.498101,49.816847
50.668330,52.594817,50.668330,52.594817
45.974732,48.413339,45.974732,48.413339
45.672877,52.029037,45.672877,52.029037
52.571515,49.529304,52.571515,49.529304
45.529975,51.027986,45.529975,51.027986
50.615297,51.282703,50.615297,51.282703
53.496822,50.773139,53.496822,50.773139
49.600443,54.628683,49.600443,54.628683
53.859391,53.039704,53.859391,53.039704
46.510340,49.490573,46.510340,49.490573
54.734978,50.248118,54.734978,50.248118
51.034605,48.637137,51.034605,48.637137
47.671304,51.427527,47.671304,51.427527
52.496929,46.429691,52.496929,46.429691
49.174254,51.671737,49.174254,51.671737
48.072738,48.621976,48.072738,48.621976
50.020195,49.414104,50.020195,49.414104
52.769260,52.453745,52.769260,52.453745
50.801008,52.510747,50.801008,52.510747
50.277064,46.626850,50.277064,46.626850
50.224116,46.721067,50.224116,46.721067
45.531555,49.483611,45.531555,49.483611
47.015089,52.081595,47.015089,52.081595
48.807937,54.846628,48.807937,54.846628
45.930062,47.999385,45.930062,47.999385
45.055078,50.102603,45.055078,50.102603
50.159339,48.003590,50.159339,48.003590
49.291241,47.903451,49.291241,47.903451
53.859904,52.161247,53.859904,52.161247
45.130289,51.079968,45.130289,51.079968
52.365761,51.187477,52.365761,51.187477
54.217733,48.620565,54.217733,48.620565
51.018050,50.358355,51.018050,50.358355
51.742441,45.512075,51.742441,45.512075
46.842322,49.148456,46.842322,49.148456
51.300899,54.056706,51.300899,54.056706
52.952109,46.849346,52.952109,46.849346
50.550788,47.118385,50.550788,47.118385
52.151920,47.583338,52.151920,47.583338
52.462006,49.067956,52.462006,49.067956
52.022665,54.507941,52.022665,54.507941
46.386448,47.943381,46.386448,47.943381
48.350699,50.194848,48.350699,50.194848
48.973881,53.926144,48.973881,53.926144
51.765227,48.282447,51.765227,48.282447
46.300089,47.033859,46.300089,47.033859
54.665549,51.394580,54.665549,51.394580
51.467104,47.728231,51.467104,47.728231
50.377814,49.913871,50.377814,49.913871
48.283988,49.043277,48.283988,49.043277
50.546154,49.213457,50.546154,49.213457
51.000047,47.841995,51.000047,47.841995
52.437536,47.966612,52.437536,47.966612
48.531143,52.787293,48.531143,52.787293
48.503168,52.626078,48.503168,52.626078
47.956919,51.775362,47.956919,51.775362
52.336711,52.735945,52.336711,52.735945
52.489481,50.612996,52.489481,50.612996
49.828919,54.630975,49.828919,54.630975
48.390300,46.004614,48.390300,46.004614
53.429779,53.120120,53.429779,53.120120
48.090319,53.683655,48.090319,53.683655
49.765844,54.536970,49.765844,54.536970
46.617940,48.316167,46.617940,48.316167
45.988578,50.022946,45.988578,50.022946
46.034420,50.306036,46.034420,50.306036
54.919193,49.439904,54.919193,49.439904
47.455848,50.374605,47.455848,50.374605
53.539018,50.192055,53.539018,50.192055
49.411174,53.579707,49.411174,53.579707
45.715697,51.921712,45.715697,51.921712
48.279870,49.782504,48.279870,49.782504
46.909065,50.510541,46.909065,50.510541
46.452873,52.424255,46.452873,52.424255
51.546101,45.544139,51.546101,45.544139
50.886988,47.638256,50.886988,47.638256
46.449413,46.680160,46.449413,46.680160
52.911390,51.413987,52.911390,51.413987
51.457213,51.322829,51.457213,51.322829
51.750708,53.885694,51.750708,53.885694
50.380287,51.482834,50.380287,51.482834
54.383848,49.682985,54.383848,49.682985
50.873929,48.147474,50.873929,48.147474
47.818639,48.072534,47.818639,48.072534
48.236246,46.812008,48.236246,46.812008
48.500522,48.360639,48.500522,48.360639
47.883266,53.670569,47.883266,53.670569
54.316599,49.536364,54.316599,49.536364
49.169703,45.266568,49.169703,45.266568
45.100671,49.396104,45.100671,49.396104
54.457772,50.806316,54.457772,50.806316
51.302905,47.998870,51.302905,47.998870
53.481043,47.047543,53.481043,47.047543
53.218281,49.729256,53.218281,49.729256
54.215196,52.584680,54.215196,52.584680
47.031818,53.024955,47.031818,53.024955
46.731427,46.285704,46.731427,46.285704
46.581945,52.008351,46.581945,52.008351
48.563711,50.279533,48.563711,50.279533
54.829012,50.312783,54.829012,50.312783
45.251139,48.714249,45.251139,48.714249
46.880538,50.938205,46.880538,50.938205
46.844015,47.957189,46.844015,47.957189
54.236375,50.402734,54.236375,50.402734
53.481915,50.386659,53.481915,50.386659
45.111464,49.657726,45.111464,49.657726
53.127170,48.713103,53.127170,48.713103
50.524542,46.007124,50.524542,46.007124
49.367876,45.926042,49.367876,45.926042
45.152436,49.262676,45.152436,49.262676
47.953859,50.471079,47.953859,50.471079
47.277131,47.260197,47.277131,47.260197
46.983082,53.710809,46.983082,53.710809
48.654944,53.506089,48.654944,53.506089
52.196874,52.568262,52.196874,52.568262
51.431185,53.766826,51.431185,53.766826
53.643695,49.708615,53.643695,49.708615
48.475983,46.039762,48.475983,46.039762
54.816490,50.200434,54.816490,50.200434
49.436402,47.626949,49.436402,47.626949
50.317971,54.134143,50.317971,54.134143
53.468548,47.037697,53.468548,47.037697
45.248598,50.989998,45.248598,50.989998
53.347880,48.382886,53.347880,48.382886
47.508547,46.662939,47.508547,46.662939
51.045765,46.261136,51.045765,46.261136
49.655547,50.780949,49.655547,50.780949
46.672653,47.975004,46.672653,47.975004
53.859101,49.938495,53.859101,49.938495
54.268502,50.372639,54.268502,50.372639
46.453755,48.776171,46.453755,48.776171
52.532134,47.912833,52.532134,47.912833
48.447869,53.170495,48.447869,53.170495
45.802605,52.376923,45.802605,52.376923
47.726199,53.770320,47.726199,53.770320
50.659131,48.025303,50.659131,48.025303
49.077697,48.868731,49.077697,48.868731
54.797722,48.679085,54.797722,48.679085
50.708052,50.232789,50.708052,50.232789
52.316359,50.920984,52.316359,50.920984
46.374412,53.265178,46.374412,53.265178
51.901637,50.750330,51.901637,50.750330
45.482646,48.643551,45.482646,48.643551
54.758043,49.517435,54.758043,49.517435
48.379848,50.097510,48.379848,50.097510
52.322264,50.263719,52.322264,50.263719
54.895561,49.936717,54.895561,49.936717
48.891767,53.823626,48.891767,53.823626
52.879987,53.224225,52.879987,53.224225
50.838903,49.448392,50.838903,49.448392
45.808049,47.754856,45.808049,47.754856
52.014326,54.372271,52.014326,54.372271
48.453094,51.095611,48.453094,51.095611
53.969755,49.803419,53.969755,49.803419
45.742465,51.891930,45.742465,51.891930
52.863611,48.942850,52.863611,48.942850
45.674378,49.634949,45.674378,49.634949
47.293631,53.413257,47.293631,53.413257
54.829133,50.838830,54.829133,50.838830
53.522627,53.406371,53.522627,53.406371
51.551756,50.348443,51.551756,50.348443
50.477765,49.799705,50.477765,49.799705
48.166637,46.892604,48.166637,46.892604
54.125264,51.868995,54.125264,51.868995
51.330051,54.011454,51.330051,54.011454
50.441199,45.248224,50.441199,45.248224
54.160690,49.285832,54.160690,49.285832
46.123416,47.628182,46.123416,47.628182
52.692004,53.794685,52.692004,53.794685
53.059992,49.428931,53.059992,49.428931
53.895133,47.179409,53.895133,47.179409
51.769412,48.603334,51.769412,48.603334
52.155385,45.987820,52.155385,45.987820
47.013261,51.504539,47.013261,51.504539
50.358719,48.991419,50.358719,48.991419
54.989260,50.294377,54.989260,50.294377
45.869556,49.793541,45.869556,49.793541
52.568336,46.588410,52.568336,46.588410
50.980815,54.469322,50.980815,54.469322
54.211209,48.812515,54.211209,48.812515
48.905026,46.853347,48.905026,46.853347
48.512917,46.746614,48.512917,46.746614
48.682890,53.216209,48.682890,53.216209
53.898945,49.728646,53.898945,49.728646
45.110972,50.022875,45.110972,50.022875
54.991785,49.824270,54.991785,49.824270
45.310297,50.057527,45.310297,50.057527
47.946707,50.274152,47.946707,50.274152
53.443781,49.735126,53.443781,49.735126
49.602194,54.060586,49.602194,54.060586
53.296413,52.113204,53.296413,52.113204
46.120420,47.412025,46.120420,47.412025
50.100879,45.466310,50.100879,45.466310
46.761328,48.201722,46.761328,48.201722
49.449484,47.500566,49.449484,47.500566
45.045798,50.638455,45.045798,50.638455
52.755798,47.237276,52.755798,47.237276
51.491748,51.722302,51.491748,51.722302
47.971696,50.265590,47.971696,50.265590
53.645535,50.346269,53.645535,50.346269
53.437660,47.641693,53.437660,47.641693
46.454379,49.118682,46.454379,49.118682
52.122200,48.021015,52.122200,48.021015
46.240625,47.488467,46.240625,47.488467
46.078814,47.910796,46.078814,47.910796
47.828448,52.458895,47.828448,52.458895
49.588828,49.433348,49.588828,49.433348
53.909648,49.662331,53.909648,49.662331
45.894291,47.343646,45.894291,47.343646
54.215090,51.627598,54.215090,51.627598
46.654172,47.521524,46.654172,47.521524
54.277929,49.559785,54.277929,49.559785
47.452566,45.935498,47.452566,45.935498
51.515742,45.313529,51.515742,45.313529
45.011404,49.775150,45.011404,49.775150
45.162294,50.677615,45.162294,50.677615
45.528325,52.039826,45.528325,52.039826
48.317053,54.433093,48.317053,54.433093
53.745813,47.266597,53.745813,47.266597
54.225525,49.146264,54.225525,49.146264
49.864400,50.970737,49.864400,50.970737
51.172634,48.504395,51.172634,48.504395
52.189807,53.675499,52.189807,53.675499
54.735039,50.577965,54.735039,50.577965
51.423165,49.173049,51.423165,49.173049
51.741615,51.246765,51.741615,51.246765
54.321359,49.533992,54.321359,49.533992
49.802402,48.970191,49.802402,48.970191
48.474543,51.570556,48.474543,51.570556
47.836538,48.816110,47.836538,48.816110
49.321603,48.199589,49.321603,48.199589
48.060378,50.705811,48.060378,50.705811
50.433059,48.429276,50.433059,48.429276
51.262523,49.252374,51.262523,49.252374
53.846871,52.787835,53.846871,52.787835
48.891927,46.698248,48.891927,46.698248
52.402131,52.300902,52.402131,52.300902
53.176295,53.082639,53.176295,53.082639
45.284881,50.995697,45.284881,50.995697
45.786106,48.430651,45.786106,48.430651
47.584729,46.976551,47.584729,46.976551
54.755056,49.453708,54.755056,49.453708
51.314255,48.733726,51.314255,48.733726
52.106134,47.996057,52.106134,47.996057
54.466290,52.215930,54.466290,52.215930
46.370717,51.811375,46.370717,51.811375
49.584002,48.325461,49.584002,48.325461
48.111733,53.614494,48.111733,53.614494
47.205548,53.023543,47.205548,53.023543
50.914313,46.910477,50.914313,46.910477
53.826373,49.904298,53.826373,49.904298
51.226759,48.190735,51.226759,48.190735
52.919927,46.116712,52.919927,46.116712
49.273726,53.470850,49.273726,53.470850
49.880696,54.854443,49.880696,54.854443
51.853239,47.570644,51.853239,47.570644
48.594484,47.594824,48.594484,47.594824
47.735693,53.378302,47.735693,53.378302
53.653738,48.890826,53.653738,48.890826
51.798212,52.381309,51.798212,52.381309
52.591841,50.920690,52.591841,50.920690
54.958964,49.399482,54.958964,49.399482
50.304331,54.873840,50.304331,54.873840
46.786779,46.471706,46.786779,46.471706
51.444634,49.959076,51.444634,49.959076
51.542159,49.105591,51.542159,49.105591
47.218439,50.246571,47.218439,50.246571
47.065605,51.307774,47.065605,51.307774
46.402795,51.234298,46.402795,51.234298
47.887387,53.005047,47.887387,53.005047
54.264689,48.241412,54.264689,48.241412
49.529236,47.881851,49.529236,47.881851
51.416409,45.772952,51.416409,45.772952
51.511234,49.347662,51.511234,49.347662
48.207413,51.860710,48.207413,51.860710
49.927154,45.677805,49.927154,45.677805
49.162218,49.401884,49.162218,49.401884
53.302228,50.410423,53.302228,50.410423
46.595641,52.154279,46.595641,52.154279
45.880845,49.639806,45.880845,49.639806
50.028153,53.159108,50.028153,53.159108
45.976972,52.948968,45.976972,52.948968
46.664952,48.395725,46.664952,48.395725
50.381001,53.469370,50.381001,53.469370
49.736620,53.371315,49.736620,53.371315
50.471075,47.368157,50.471075,47.368157
48.979849,54.232412,48.979849,54.232412
52.641904,52.101854,52.641904,52.101854
48.424973,48.590488,48.424973,48.590488
49.590186,52.243818,49.590186,52.243818
49.161560,48.368104,49.161560,48.368104
48.775951,47.480225,48.775951,47.480225
51.031402,54.674248,51.031402,54.674248
46.818322,46.558691,46.818322,46.558691
53.130055,47.533534,53.130055,47.533534
51.321914,47.505389,51.321914,47.505389
46.184176,48.351107,46.184176,48.351107
54.241127,50.328407,54.241127,50.328407
51.379685,48.430893,51.379685,48.430893
52.787637,51.505836,52.787637,51.505836
46.456299,50.722044,46.456299,50.722044
51.868410,52.197759,51.868410,52.197759
52.616635,48.118673,52.616635,48.118673
53.696292,52.408031,53.696292,52.408031
48.684104,53.601025,48.684104,53.601025
53.989961,49.565070,53.989961,49.565070
50.814817,54.574787,50.814817,54.574787
50.215031,54.017123,50.215031,54.017123
48.308343,48.417242,48.308343,48.417242
51.510687,50.110049,51.510687,50.110049
50.275939,47.716245,50.275939,47.716245
48.351073,46.676054,48.351073,46.676054
53.880322,47.833806,53.880322,47.833806
