x,y,ÉfÅ[É^ãÊä‘
0.26059,0.708706,
0.467268,0.324355,
0.951011,0.199814,
-0.340972,0.273872,
-0.631528,0.706535,
0.229686,-0.643041,
0.513878,-0.213344,
-0.797451,0.14563,
-0.557226,-0.25166,
-0.768914,-0.09074,
-0.356644,0.823318,
0.495838,0.478252,
0.905873,0.006239,
0.546941,-0.47797,
-0.710532,-0.643311,
-0.466368,0.665562,
0.483484,0.802604,
-0.822774,0.36235,
-0.129793,-0.42441,
-0.93051,-0.032167,
0.871445,-0.30996,
0.044001,0.528507,
0.204939,-0.573295,
0.671606,0.506386,
-0.010098,-0.72414,
-0.255079,-0.111934,
-0.656318,0.201525,
0.169289,0.22868,
0.692509,0.000673,
0.65882,-0.164642,
0.749725,-0.241538,
0.434968,-0.446671,
-0.213904,-0.086332,
-0.375019,0.044741,
0.136094,0.327582,
0.352299,0.078227,
-0.190221,-0.035616,
-0.748774,0.234583,
-0.78453,-0.36495,
-0.664482,-0.712091,
-0.079435,-0.061193,
-0.747309,0.650412,
0.238235,-0.95214,
-0.054798,0.013961,
-0.019735,-0.692616,
-0.086696,-0.092308,
-0.295205,-0.487028,
-0.304058,0.669574,
-0.192883,-0.775558,
0.720415,-0.683832,
-0.691317,0.019836,
0.37944,0.22467,
0.216379,-0.3177,
-0.170827,-0.095608,
0.122195,0.722139,
-0.381907,0.261755,
-0.892499,0.350434,
0.790031,-0.581161,
0.657983,-0.215684,
-0.899875,0.350567,
0.086141,0.768055,
-0.155043,-0.800352,
0.808728,-0.418068,
0.912742,-0.223282,
-0.761006,0.502449,
-0.106865,0.914849,
-0.598886,-0.380949,
0.04908,-0.117177,
-0.779048,-0.286872,
0.814551,-0.487221,
0.731751,-0.318871,
-0.108467,-0.008926,
0.075066,0.640204,
-0.663245,-0.113818,
0.949287,-0.102416,
0.234915,-0.759969,
0.460311,-0.490137,
-0.272141,-0.834593,
-0.19599,0.973514,
0.436325,0.277851,
0.907001,0.407859,
0.394585,0.732755,
-0.076742,-0.80609,
0.949816,0.174279,
0.835231,0.398794,
-0.391857,-0.859532,
-0.909413,0.203708,
-0.815533,0.195381,
-0.73494,0.587082,
-0.6272,-0.272183,
-0.467399,-0.501725,
0.464492,-0.251896,
0.344977,-0.919602,
0.373761,0.743231,
0.516036,0.018447,
0.929484,0.30746,
0.185455,-0.06207,
-0.636244,-0.277918,
0.490351,0.288663,
-0.265544,0.005359,
0.402763,0.217906,
0.222229,-0.001,
-0.263147,0.277523,
-0.284722,-0.312067,
-0.390965,0.048277,
0.538026,-0.328684,
-0.595213,-0.598658,
-0.226959,0.493997,
0.061402,0.977631,
-0.910347,0.328448,
-0.163468,-0.399654,
0.410281,0.545604,
0.214578,-0.571788,
-0.242584,-0.11221,
0.996424,-0.009205,
-0.121192,0.131313,
0.346637,0.868648,
-0.647307,-0.216017,
-0.152476,0.337995,
0.869684,-0.1107,
-0.275974,0.683999,
-0.560777,0.013488,
0.778426,0.001776,
0.535762,-0.371576,
0.827922,-0.068407,
0.982758,0.039037,
-0.64526,0.093962,
0.113288,-0.955904,
-0.999252,0.021788,
-0.835609,0.501018,
0.011625,0.385753,
0.773261,-0.50415,
0.062477,-0.95011,
-0.775768,0.420557,
0.388501,0.487904,
0.228737,-0.608761,
0.893659,0.324722,
0.813645,-0.04268,
-0.891376,-0.162063,
-0.319348,-0.259619,
0.470185,-0.528218,
-0.029557,0.227421,
0.91707,0.076381,
0.548165,0.013095,
0.128929,-0.095449,
-0.738255,-0.571708,
-0.20737,-0.260211,
0.432582,-0.528706,
-0.85061,0.423598,
-0.833594,0.43754,
-0.165014,-0.393186,
0.848353,-0.389138,
-0.378276,-0.638878,
-0.571034,-0.299241,
0.547313,-0.265418,
0.926764,-0.330805,
0.177248,0.003208,
-0.237415,0.742429,
0.248805,0.637254,
-0.946819,-0.061127,
0.071085,-0.269955,
0.338659,0.799638,
0.518089,0.449093,
-0.420801,0.536572,
0.164656,0.361107,
0.087622,-0.33483,
-0.22611,0.749183,
-0.73187,0.31921,
-0.113345,0.00607,
-0.341569,0.231497,
0.721995,-0.297592,
0.123765,-0.878839,
-0.098427,0.735521,
-0.799716,0.10399,
0.06592,0.914508,
0.628198,-0.675517,
0.892648,-0.12257,
0.772895,-0.599859,
0.407042,0.14764,
-0.395439,0.790477,
-0.498483,0.856748,
-0.820367,-0.522031,
-0.171687,-0.540806,
0.651819,0.090244,
0.961287,-0.178784,
0.080722,-0.304949,
0.927533,0.017383,
0.666511,-0.708703,
-0.551212,0.656261,
0.333148,0.213485,
0.41835,0.194368,
-0.415588,0.198135,
0.175892,-0.775149,
0.725076,-0.445536,
-0.364062,0.202523,
-0.417856,0.090772,
0.218705,0.763362,
-0.89265,0.102378,
0.304805,-0.132869,
0.279602,0.267583,
-0.926944,-0.05403,
0.676844,0.529337,
0.638231,-0.19476,
-0.967626,0.026077,
-0.542579,-0.112051,
-0.965194,0.258858,
-0.14514,-0.361368,
0.467499,0.233175,
0.246484,-0.340804,
0.732716,-0.167287,
-0.473471,-0.557951,
0.549509,0.506046,
0.800625,-0.535815,
-0.997471,0.036,
-0.411953,-0.624861,
-0.448649,0.499935,
0.724234,-0.550199,
0.582743,-0.676845,
0.774812,-0.464824,
-0.513605,0.72691,
-0.333596,0.230189,
0.86334,-0.42784,
-0.69573,-0.097108,
0.825146,-0.433784,
-0.599128,-0.429197,
-0.544636,-0.580449,
0.780609,0.439432,
-0.525071,0.111435,
-0.356549,0.449413,
-0.391039,0.747534,
-0.255261,0.80701,
-0.881619,-0.174206,
-0.689216,-0.473206,
0.36972,0.815831,
0.306433,-0.74302,
-0.07595,0.515006,
-0.232074,0.51842,
0.62494,0.290161,
-0.174153,0.006065,
0.507044,0.76597,
-0.992919,-0.11835,
0.075317,0.856486,
0.949309,0.012688,
-0.690431,0.668358,
-0.803818,-0.455838,
0.200677,-0.209912,
-0.262265,-0.849158,
-0.499389,-0.200154,
0.166054,-0.132682,
-0.391228,-0.34435,
0.238901,0.211118,
-0.944429,-0.008398,
-0.418582,-0.105236,
-0.537918,0.181373,
-0.951063,0.149744,
-0.141175,0.268557,
0.286279,0.463406,
-0.333573,0.601783,
-0.367498,0.426514,
0.759514,0.100146,
0.485606,0.513301,
-0.256527,-0.436753,
0.328375,0.006164,
0.666772,-0.416034,
0.664704,0.502598,
-0.536012,0.209877,
-0.679588,-0.617655,
0.18719,-0.885783,
-0.260734,0.821109,
-0.185596,-0.298546,
0.610674,0.473391,
0.28105,0.586408,
0.687149,-0.061895,
-0.890003,0.326256,
-0.872291,0.195456,
-0.985588,0.036369,
0.364758,-0.469682,
0.923893,0.332956,
-0.762068,0.600457,
0.962582,-0.237966,
0.061378,0.573772,
0.586006,-0.001222,
-0.375288,-0.436831,
0.220348,0.381993,
0.908716,-0.087492,
0.134695,0.819393,
-0.830012,0.548073,
0.500694,0.143483,
0.846641,0.26763,
-0.643534,-0.667862,
0.103845,0.3154,
0.720455,-0.219634,
0.157249,-0.115153,
-0.778578,-0.356799,
-0.831925,0.463931,
0.98203,-0.005095,
-0.81073,-0.551316,
-0.932601,0.280677,
-0.35475,0.662918,
-0.308835,0.385268,
0.991471,0.085131,
-0.685407,-0.45922,
-0.485043,0.765585,
0.913113,-0.126391,
0.703929,-0.040664,
0.75456,0.581721,
-0.34375,-0.383818,
-0.454907,-0.556382,
0.471397,-0.198507,
-0.01637,-0.132252,
-0.06711,-0.920342,
-0.153006,-0.561791,
0.467127,0.003809,
-0.624171,0.434784,
0.026404,0.779566,
-0.279023,-0.519652,
-0.020124,0.774515,
0.899995,-0.343415,
-0.05652,-0.92812,
-0.909375,-0.363466,
-0.425677,0.589259,
-0.223512,0.421018,
0.695914,-0.556808,
-0.546352,0.383263,
-0.178596,-0.651855,
0.24552,-0.523211,
-0.291355,0.186103,
0.676358,0.403016,
0.93059,-0.209599,
-0.337475,-0.883625,
0.347179,0.03977,
-0.274771,0.894607,
0.528792,0.345056,
-0.215061,0.462684,
-0.361012,-0.495873,
0.157044,0.434738,
-0.565396,0.314379,
0.959836,0.268083,
0.325923,0.745148,
0.014813,-0.036896,
0.797216,-0.117295,
-0.548809,-0.696394,
-0.239718,0.063741,
0.450814,-0.157124,
0.512966,0.361067,
0.406245,0.690782,
0.631855,0.460341,
-0.971053,0.122204,
-0.507282,-0.761213,
-0.683376,-0.360487,
0.145448,-0.44868,
0.968234,0.02632,
0.065753,0.114523,
-0.058428,-0.993386,
0.566521,0.425064,
0.449619,-0.231643,
0.34251,-0.414799,
0.633515,0.375965,
-0.287855,-0.930958,
0.848073,0.302145,
0.574901,-0.517416,
0.80893,0.402037,
0.376047,-0.72542,
-0.935485,0.10657,
-0.311469,0.138779,
-0.458862,0.804961,
-0.384849,0.77602,
-0.082994,0.113204,
0.190915,-0.278183,
-0.046992,-0.790823,
0.918216,-0.213006,
0.360852,-0.14591,
-0.49344,-0.213144,
0.335384,-0.194369,
-0.623237,0.198479,
0.578856,-0.129708,
-0.461325,-0.43445,
-0.893861,-0.054184,
-0.210571,-0.061021,
-0.123289,0.879442,
