x,y
0.075679,0.097121
0.033530,-0.345953
-0.555630,0.471865
-0.244356,0.577887
-0.508879,-0.372611
0.020478,0.284633
-0.279721,0.421605
0.092832,-0.006551
0.179332,-0.050562
-0.158849,0.326979
0.243196,-0.111133
-0.417134,-0.319293
0.457915,-0.197840
0.413861,0.671257
-0.575977,-0.559546
0.044865,0.512858
-0.927375,-0.027516
-0.089014,0.031238
-0.530978,0.232595
-0.357234,0.307104
-0.645804,-0.180682
-0.020754,0.193805
-0.782643,-0.029003
-0.494927,0.383881
0.813663,0.857529
0.269390,-0.655757
0.513105,0.788875
-0.009236,-0.228442
0.477497,-0.104963
-0.153942,-0.235281
0.319801,-0.210540
0.269410,-0.112648
0.062593,0.051793
-0.703669,-0.563771
0.047242,-0.107950
-0.271577,0.429089
-0.283885,0.016575
0.855106,-0.792785
-0.171802,-0.966368
-0.234107,-0.007012
0.182840,-0.750430
0.100388,0.020703
-0.354240,-0.599863
-0.446899,-0.175402
0.137913,-0.532094
-0.121347,-0.900741
0.553025,0.204833
-0.519624,0.512397
-0.152551,0.532376
-0.039895,0.379904
-0.508775,-0.280080
0.665623,-0.039257
-0.344789,-0.476258
-0.107813,0.390424
-0.011203,0.035883
-0.293442,0.493629
0.095338,-0.020751
-0.659765,0.218797
-0.207110,-0.233390
0.222232,-0.251872
0.437176,-0.312581
0.109246,0.075445
0.482797,0.018851
-0.248233,0.125517
-0.930316,0.217909
0.182326,-0.351613
0.015277,-0.800194
0.175606,0.049977
-0.058037,0.477267
0.064406,0.557066
-0.419394,-0.212303
-0.690471,0.181953
-0.541599,0.112118
-0.040573,-0.209371
0.197509,-0.023546
-0.115119,0.003022
0.607210,0.341967
-0.219559,-0.711908
0.424480,0.118102
0.123641,0.273731
0.484279,0.648673
-0.033810,-0.471298
0.370805,0.273250
0.025386,0.216923
-0.553786,-0.453838
0.051011,0.000070
-0.348620,0.129371
-0.210423,-0.602692
0.057349,-0.167432
-0.500609,0.544449
0.329244,0.809003
0.726059,-0.639965
0.370935,-0.257712
-0.365344,0.263520
0.290628,0.506728
0.224113,0.111492
0.007717,0.166841
-0.042011,-0.027769
-0.089241,-0.498784
-0.470165,-0.184349
-0.549619,0.037733
-0.473833,0.045010
-0.538135,-0.170145
-0.348398,0.700949
-0.061612,-0.473799
0.579270,0.646707
-0.362187,-0.456615
0.556372,-0.136899
-0.362667,-0.153322
0.555972,0.271927
0.735761,0.508325
0.322596,0.188319
0.412861,0.234439
0.346723,0.033965
0.206660,-0.208014
-0.039087,0.148240
0.022938,0.489543
0.793158,0.774942
0.460508,0.345898
0.155655,-0.524879
0.025135,0.136089
0.381687,-0.238210
-0.077491,-0.336406
0.259921,0.156284
-0.269287,0.021780
-0.280581,-0.123491
0.176596,-0.079881
-0.805834,-0.174294
0.800824,0.051321
0.263048,-0.041048
0.456047,0.129683
-0.250759,-0.095870
-0.238892,0.049946
0.098880,0.306689
0.283521,0.058793
0.090748,0.465005
0.077181,-0.487926
-0.032843,0.132744
0.021222,0.220594
-0.138869,-0.405964
0.390825,0.151733
0.429603,0.389467
0.048524,-0.471040
0.693616,-0.263578
-0.396517,0.129495
0.679985,0.233490
-0.818884,-0.292581
0.689324,0.165299
-0.448671,0.475720
0.074785,0.017766
-0.067548,-0.227241
-0.432578,-0.507291
-0.209396,0.191096
0.243564,0.788208
0.259545,0.541233
0.059653,0.064081
0.889094,-0.194044
0.175721,-0.259123
0.781604,0.174579
-0.208072,0.608795
0.013681,-0.626956
-0.186771,-0.056885
0.224036,-0.083776
-0.454027,0.207757
0.004261,-0.064805
-0.058059,-0.215790
-0.846844,0.599706
-0.158964,0.326687
-0.154289,-0.502267
-0.119018,0.306304
0.215597,-0.383336
0.768986,0.203376
-0.884649,-0.684163
-0.763255,-0.300703
0.150076,-0.306278
0.082418,0.306256
0.381731,-0.183362
-0.113080,-0.348733
0.526537,-0.276976
0.353787,-0.349651
0.599501,0.458859
-0.003078,0.098570
0.462820,-0.344609
0.526484,-0.144851
0.124861,-0.097320
0.699008,0.262693
0.157796,-0.529090
0.568429,0.673902
0.545903,-0.622826
